ID	treat	treat_name	num_pred	N0_het	N0_hypo	N0_pard	N0_lith	N1_het	N1_hypo	N1_pard	N1_lith	B0_het	B0_hypo	B0_pard	B0_lith	B1_het	B1_hypo	B1_pard	B1_lith	B1_miclitt
29	1.0.0.1	lith	1	912	0	0	2	6583	0	0	2	0.094700	0.000000	0.000000	0.250860	0.68394	0.000000	0.000000	0.211340	29528.00
30	1.0.0.1	lith	1	912	0	0	2	4562	0	0	1	0.094700	0.000000	0.000000	0.248190	0.47402	0.000000	0.000000	0.151390	29027.27
31	1.0.0.1	lith	1	912	0	0	2	10477	0	0	1	0.094700	0.000000	0.000000	0.249350	1.08854	0.000000	0.000000	0.134320	29956.11
32	1.0.1.1	ko_pard	2	912	350	0	2	2542	228	0	1	0.094700	0.055000	0.000000	0.236640	0.26409	0.035850	0.000000	0.110190	27073.06
33	1.0.1.1	ko_pard	2	912	350	0	2	1613	701	0	1	0.094700	0.055000	0.000000	0.256940	0.16760	0.110110	0.000000	0.129090	36532.49
34	1.0.1.1	ko_pard	2	912	350	0	2	1238	1206	0	0	0.094700	0.055000	0.000000	0.250200	0.12866	0.189490	0.000000	0.000000	21353.28
35	1.0.1.1	ko_pard	2	912	350	0	2	1431	1743	0	1	0.094700	0.055000	0.000000	0.240700	0.14868	0.273990	0.000000	0.154010	29572.56
36	1.0.1.1	ko_pard	2	912	350	0	2	2053	16	0	1	0.094700	0.055000	0.000000	0.249770	0.21331	0.002560	0.000000	0.105690	19239.49
37	1.1.0.1	ko_hypo	2	912	0	4	2	5393	0	0	2	0.094700	0.000000	0.105220	0.232810	0.56035	0.000000	0.000000	0.222570	28621.18
38	1.1.0.1	ko_hypo	2	912	0	4	2	9027	0	1	2	0.094700	0.000000	0.097920	0.231730	0.93787	0.000000	0.021260	0.201490	29011.45
39	1.1.0.1	ko_hypo	2	912	0	4	2	7267	0	0	2	0.094700	0.000000	0.107580	0.234760	0.75504	0.000000	0.000000	0.220000	26317.90
40	1.1.0.1	ko_hypo	2	912	0	4	2	1988	0	0	2	0.094700	0.000000	0.103660	0.250080	0.20654	0.000000	0.000000	0.209130	29142.25
41	1.1.0.1	ko_hypo	2	912	0	4	2	11390	0	0	1	0.094700	0.000000	0.104780	0.236570	1.18335	0.000000	0.000000	0.095650	30988.48
42	1.1.1.1	full	3	912	350	4	2	2053	1027	0	1	0.094700	0.055000	0.105670	0.247970	0.21331	0.161320	0.000000	0.165930	25663.63
43	1.1.1.1	full	3	912	350	4	2	0	261	0	2	0.094700	0.055000	0.103390	0.256620	0.00000	0.040970	0.000000	0.213450	30045.88
44	1.1.1.1	full	3	912	350	4	2	3438	1271	0	2	0.094700	0.055000	0.104530	0.239440	0.35720	0.199730	0.000000	0.216990	29682.40
45	1.1.1.1	full	3	912	350	4	2	505	1173	0	1	0.094700	0.055000	0.094260	0.231610	0.05248	0.184370	0.000000	0.110300	29090.61
46	1.1.1.1	full	3	912	350	4	2	1988	2151	0	1	0.094700	0.055000	0.103260	0.233200	0.20654	0.338000	0.000000	0.149660	23460.27
